ean,geko_variant_size_code,geko_variant_producer_code,geko_variant_stock_id,weight,gross_weight
5901477140938,C00308,5901477140938,1,1000.00,0.00
5901477140945,C00312,5901477140945,1,1530.00,0.00
5901477140952,C00313,5901477140952,1,2200.00,0.00
5901477140969,C00314,5901477140969,1,1500.00,0.00
5901477140976,C00315,5901477140976,1,1500.00,0.00
5901477133169,C00350,5901477133169,1,150.00,160.00
5901477133176,C00354,5901477133176,1,100.00,110.00
5901477133183,C00355,5901477133183,1,100.00,110.00
5901477141270,C00356,5901477141270,1,12400.00,0.00
5901477141287,C00357,5901477141287,1,26600.00,0.00
5901477141300,C00360B,5901477141300,1,10.00,10.00
5901477141324,C00360E,5901477141324,1,300.00,300.00
5901477141348,C00360H,5901477141348,1,150.00,150.00
5901477141362,C00360J,5901477141362,1,100.00,100.00
5901477141386,C00360L,5901477141386,1,50.00,50.00
5901477141393,C00360R,5901477141393,1,100.00,0.00
5901477141409,C00360S,5901477141409,1,100.00,100.00
5901477141416,C00362,5901477141416,1,2000.00,2000.00
5901477141423,C00362A,5901477141423,1,10.00,10.00
5901477141430,C00362B,5901477141430,1,200.00,200.00
5901477141447,C00363,5901477141447,1,200.00,0.00
5901477141454,C00360O,5901477141454,1,200.00,0.00
5901477130946,C01000,5901477130946,1,130.00,130.00
5901477130953,C01001,5901477130953,1,194.00,0.00
5901477130960,C01002,5901477130960,1,2200.00,0.00
5901477130977,C01003,5901477130977,1,1020.00,0.00
5901477130984,C01004,5901477130984,1,400.00,0.00
5901477130991,C01005,5901477130991,1,194.00,0.00
5901477131004,C01006,5901477131004,1,100.00,110.00
5901477131011,C01007,5901477131011,1,500.00,0.00
5901477131035,C01009,5901477131035,1,0.00,0.00
5901477131059,C01011,5901477131059,1,200.00,0.00
5901477131080,C01014,5901477131080,1,150.00,0.00
5901477131097,C01015,5901477131097,1,10.00,10.00
5901477131103,C01016,5901477131103,1,194.00,0.00
5901477131110,C01017,5901477131110,1,490.00,0.00
5901477131127,C01018,5901477131127,1,100.00,110.00
5901477131134,C01019,5901477131134,1,500.00,0.00
5901477131141,C01020,5901477131141,1,150.00,160.00
5901477131158,C01022,5901477131158,1,100.00,110.00
5901477131165,C01023,5901477131165,1,194.00,0.00
5901477131172,C01024,5901477131172,1,5500.00,0.00
5901477131189,C01025,5901477131189,1,120.00,125.00
5901477131196,C01026,5901477131196,1,11000.00,12000.00
5901477131202,C01027,5901477131202,1,194.00,0.00
5901477131219,C01028,5901477131219,1,1950.00,2030.00
5901477131233,C01030,5901477131233,1,600.00,0.00
5901477131240,C01031,5901477131240,1,100.00,105.00
5901477141478,C01087-1,5901477141478,1,100.00,0.00
5901477141485,C01087-2,5901477141485,1,100.00,0.00
5901477141492,C01088-1,5901477141492,1,100.00,0.00
5901477141508,C01088-2,5901477141508,1,100.00,0.00
5901477141515,C01089-1,5901477141515,1,100.00,0.00
5901477141522,C01089-2,5901477141522,1,100.00,0.00
5901477130380,C02002/C02110-3,5901477130380,1,415.00,0.00
5901477130397,C02003/C02110-4,5901477130397,1,415.00,0.00
5901477130403,C02004/C02110-5,5901477130403,1,3800.00,0.00
5901477130410,C02005/C02110-6,5901477130410,1,198.00,0.00
5901477141539,C02005A/C02110-7,5901477141539,1,99.00,0.00
5901477130427,C02006/C02110-8,5901477130427,1,99.00,0.00
5901477130434,C02007/C02110-8,5901477130434,1,99.00,0.00
5901477130441,C02008/C02110-10,5901477130441,1,99.00,0.00
5901477130458,C02009/C02110-11,5901477130458,1,500.00,0.00
5901477130465,C02010/C02110-12,5901477130465,1,99.00,0.00
5901477130472,C02011/C02110-13,5901477130472,1,415.00,0.00
5901477130489,C02012/C02110-14,5901477130489,1,99.00,0.00
5901477130496,C02013/C02110-15,5901477130496,1,99.00,0.00
5901477130502,C02014/C02110-16,5901477130502,1,99.00,0.00
5901477130519,C02015/C02110-17,5901477130519,1,297.00,0.00
5901477130526,C02016/C02110-18,5901477130526,1,99.00,0.00
5901477130533,C02017/C02110-19,5901477130533,1,3800.00,0.00
5901477130540,C02018/C02110-20,5901477130540,1,500.00,0.00
5901477130557,C02019/C02110-21,5901477130557,1,10.00,10.00
5901477130564,C02020/C02110-22,5901477130564,1,500.00,0.00
5901477130571,C02021/C02110-23,5901477130571,1,229.00,0.00
5901477130588,C02021A/C02110-24,5901477130588,1,500.00,0.00
5901477130595,C02021B/C02110-25,5901477130595,1,99.00,0.00
5901477130601,C02021C/C02110-26,5901477130601,1,99.00,0.00
5901477130618,C02021D/C02110-27,5901477130618,1,229.00,0.00
5901477131332,C10000A,5901477131332,1,100.00,0.00
5901477131349,C10000B,5901477131349,1,100.00,0.00
5901477131356,C10000C,5901477131356,1,100.00,0.00
5901477131363,C10000D,5901477131363,1,100.00,0.00
5901477131370,C10000E,5901477131370,1,100.00,0.00
5901477131387,C10000F,5901477131387,1,100.00,0.00
5901477131394,C10000G,5901477131394,1,100.00,0.00
5901477131400,C10000H,5901477131400,1,100.00,0.00
5901477131417,C10000I,5901477131417,1,100.00,0.00
5901477131424,C10000J,5901477131424,1,100.00,0.00
5901477131431,C10000K,5901477131431,1,100.00,0.00
5901477131448,C10000L,5901477131448,1,100.00,0.00
5901477131455,C10000M,5901477131455,1,100.00,0.00
5901477131462,C10000N,5901477131462,1,100.00,0.00
5901477131479,C10000O,5901477131479,1,100.00,0.00
5901477131486,C10000P,5901477131486,1,100.00,0.00
5901477131493,C10000R,5901477131493,1,100.00,0.00
5901477131509,C10000S,5901477131509,1,100.00,0.00
5901477131516,C10000T,5901477131516,1,100.00,0.00
5901477131523,C10000U,5901477131523,1,100.00,0.00
5901477131530,C10000W,5901477131530,1,100.00,0.00
5901477142031,CG00900-1,5901477142031,1,100.00,0.00
5901477142048,CG00911-1,5901477142048,1,2080.00,0.00
5901477142055,CG00911-2,5901477142055,1,2080.00,0.00
5901477142062,CG00911-3,5901477142062,1,1720.00,0.00
5901477142079,CG00912-1,5901477142079,1,3260.00,0.00
5901477142086,CG00912-2,5901477142086,1,3260.00,0.00
5901477142093,CG00912-3,5901477142093,1,1770.00,0.00
5901477142109,CG01021-1,5901477142109,1,100.00,0.00
5901477142116,CG01087-1,5901477142116,1,100.00,0.00
5901477142123,CG01087-2,5901477142123,1,500.00,0.00
5901477142130,CG01088-1,5901477142130,1,100.00,0.00
5901477142147,CG01088-2,5901477142147,1,500.00,0.00
5901477142154,CG01089-1,5901477142154,1,100.00,0.00
5901477142161,CG01089-2,5901477142161,1,500.00,0.00
5901477134807,CG02019-5,5901477134807,1,100.00,0.00
5901477134852,CG02021-27,5901477134852,1,100.00,0.00
5901477134890,CG02022-31,5901477134890,1,100.00,0.00
5901477134937,CG02026-22,5901477134937,1,100.00,0.00
5901477134333,CG02082-2,5901477134333,1,10500.00,11000.00
5901477134357,CG02083-2,5901477134357,1,13000.00,14000.00
5901477134364,CG02086-1,5901477134364,1,12000.00,13000.00
5901477140570,CG73216A,5901477140570,1,120.00,130.00
5901477133336,CG80250-11A,5901477133336,1,500.00,0.00
5901477133343,CG80250-14A,5901477133343,1,200.00,220.00
5901477133350,CG80250-152,5901477133350,1,100.00,100.00
5901477133367,CG80250-16A,5901477133367,1,100.00,0.00
5901477133374,CG80250-1A,5901477133374,1,150.00,150.00
5901477133381,CG80250-218,5901477133381,1,100.00,0.00
5901477133398,CG80250-25A,5901477133398,1,300.00,300.00
5901477133404,CG80250-260,5901477133404,1,200.00,0.00
5901477133411,CG80250-28A,5901477133411,1,10.00,10.00
5901477133428,CG80250-34A,5901477133428,1,100.00,100.00
5901477133435,CG80250-37A,5901477133435,1,10.00,10.00
5901477133442,CG80250-63A,5901477133442,1,10.00,10.00
5901477133459,CG80250-74A,5901477133459,1,100.00,0.00
5901477133466,CG80250-77A,5901477133466,1,100.00,100.00
5901477133473,CG80250-A,5901477133473,1,100.00,0.00
5901477133480,CG80250-B,5901477133480,1,200.00,200.00
5901477136481,CG80250-C,5901477136481,1,10.00,10.00
5901477133497,CG80251-14A,5901477133497,1,500.00,0.00
5901477133503,CG80251-156,5901477133503,1,150.00,150.00
5901477133510,CG80251-16A,5901477133510,1,50.00,50.00
5901477133527,CG80251-218,5901477133527,1,60.00,70.00
5901477133534,CG80251-25A,5901477133534,1,300.00,350.00
5901477133541,CG80251-260,5901477133541,1,250.00,250.00
5901477133558,CG80251-37A,5901477133558,1,100.00,100.00
5901477133565,CG80251-74A,5901477133565,1,500.00,0.00
5901477133572,CG80251-77A,5901477133572,1,10.00,10.00
5901477133589,CG80251-78/11A,5901477133589,1,500.00,0.00
5901477133596,CG80251-C,5901477133596,1,100.00,100.00
5901477138348,CG80261-15,5901477138348,1,38.00,0.00
5901477138355,CG80261-17,5901477138355,1,38.00,0.00
5901477138362,CG80261-20,5901477138362,1,10.00,13.00
5901477138379,CG80261-21,5901477138379,1,38.00,0.00
5901477138386,CG80261-22,5901477138386,1,38.00,0.00
5901477138393,CG80261-25,5901477138393,1,38.00,0.00
5901477138409,CG80261-28,5901477138409,1,38.00,0.00
5901477138416,CG80261-29,5901477138416,1,38.00,0.00
5901477138423,CG80261-31,5901477138423,1,100.00,100.00
5901477138430,CG80261-34,5901477138430,1,38.00,0.00
5901477138447,CG80261-36,5901477138447,1,38.00,0.00
5901477138454,CG80261-37,5901477138454,1,38.00,0.00
5901477138461,CG80261-38,5901477138461,1,38.00,0.00
5901477138478,CG80262-17,5901477138478,1,108.00,0.00
5901477138485,CG80262-20,5901477138485,1,108.00,0.00
5901477138492,CG80262-22,5901477138492,1,108.00,0.00
5901477138508,CG80262-33,5901477138508,1,108.00,0.00
5901477138515,CG80262-36,5901477138515,1,108.00,0.00
5901477138522,CG80262-41,5901477138522,1,108.00,0.00
5901477138539,CG80262-42,5901477138539,1,108.00,0.00
5901477138546,CG80262-43,5901477138546,1,108.00,0.00
5901477138553,CG80262-45,5901477138553,1,108.00,0.00
5901477138560,CG80262-47,5901477138560,1,108.00,0.00
5901477138577,CG80262-49,5901477138577,1,108.00,0.00
5901477138584,CG80263-10,5901477138584,1,61.00,0.00
5901477138591,CG80263-11,5901477138591,1,100.00,100.00
5901477138607,CG80263-12,5901477138607,1,61.00,0.00
5901477138614,CG80263-13,5901477138614,1,61.00,0.00
5901477138621,CG80263-15,5901477138621,1,61.00,0.00
5901477138638,CG80263-20,5901477138638,1,200.00,230.00
5901477138645,CG80263-27,5901477138645,1,50.00,50.00
5901477138652,CG80263-28,5901477138652,1,100.00,100.00
5901477138669,CG80263-29,5901477138669,1,100.00,100.00
5901477138676,CG80263-35,5901477138676,1,400.00,430.00
5901477138683,CG80270-13,5901477138683,1,150.00,150.00
5901477140020,CG80270-22,5901477140020,1,100.00,100.00
5901477138690,CG80270-23,5901477138690,1,67.00,0.00
5901477138706,CG80270-24,5901477138706,1,250.00,250.00
5901477138713,CG80270-25,5901477138713,1,300.00,300.00
5901477138720,CG80270-29,5901477138720,1,50.00,500.00
5901477138737,CG80270-35,5901477138737,1,67.00,0.00
5901477138744,CG80270-36,5901477138744,1,50.00,50.00
5901477138751,CG80270-37,5901477138751,1,67.00,0.00
5901477138768,CG80270-38,5901477138768,1,100.00,100.00
5901477138775,CG80270-41,5901477138775,1,100.00,100.00
5901477136672,CG80300-15,5901477136672,1,100.00,110.00
5901477136634,CG80300-2,5901477136634,1,200.00,210.00
5901477136689,CG80300-24-26,5901477136689,1,100.00,100.00
5901477136696,CG80300-29,5901477136696,1,100.00,110.00
5901477136702,CG80300-35,5901477136702,1,270.00,270.00
5901477136719,CG80300-38,5901477136719,1,150.00,150.00
5901477136641,CG80300-4,5901477136641,1,150.00,150.00
5901477136726,CG80300-42-43,5901477136726,1,400.00,400.00
5901477136658,CG80300-5,5901477136658,1,100.00,110.00
5901477136733,CG80300-51,5901477136733,1,200.00,210.00
5901477136665,CG80300-8,5901477136665,1,3200.00,3200.00
5901477136740,CG80301-51,5901477136740,1,12400.00,12400.00
5901477136771,CG80302-15,5901477136771,1,100.00,110.00
5901477136788,CG80302-26-27,5901477136788,1,100.00,100.00
5901477136795,CG80302-28,5901477136795,1,200.00,210.00
5901477136801,CG80302-31,5901477136801,1,100.00,110.00
5901477136887,CG80302-73,5901477136887,1,251.00,251.00
5901477136511,CG80303-12,5901477136511,1,100.00,100.00
5901477136528,CG80303-28,5901477136528,1,1500.00,1500.00
5901477136535,CG80303-29,5901477136535,1,300.00,310.00
5901477136542,CG80303-32,5901477136542,1,100.00,110.00
5901477136559,CG80303-33,5901477136559,1,200.00,210.00
5901477136566,CG80303-39,5901477136566,1,100.00,110.00
5901477136498,CG80303-4,5901477136498,1,252.00,252.00
5901477136573,CG80303-40,5901477136573,1,150.00,150.00
5901477136580,CG80303-43,5901477136580,1,100.00,110.00
5901477136597,CG80303-45_48,5901477136597,1,150.00,150.00
5901477136603,CG80303-50,5901477136603,1,100.00,110.00
5901477136610,CG80303-51,5901477136610,1,100.00,110.00
5901477136504,CG80303-8,5901477136504,1,400.00,400.00
5901477136627,CG80304,5901477136627,1,400.00,400.00
5901477136979,CG80305-1,5901477136979,1,100.00,110.00
5901477136931,CG80305-15,5901477136931,1,100.00,110.00
5901477136924,CG80305-16,5901477136924,1,100.00,110.00
5901477136962,CG80305-2,5901477136962,1,200.00,210.00
5901477141294,C00360A,5901477141294,1,500.00,500.00
5901477141317,C00360D,5901477141317,1,105.00,105.00
5901477141331,C00360G,5901477141331,1,100.00,100.00
5901477141355,C00360I,5901477141355,1,500.00,500.00
5901477141379,C00360K,5901477141379,1,100.00,100.00
5901477136757,CG80302-3-4,5901477136757,1,50.00,60.00
5901477136818,CG80302-34,5901477136818,1,200.00,200.00
5901477136825,CG80302-43,5901477136825,1,1500.00,1500.00
5901477140655,CG80302-56,5901477140655,1,12780.00,13060.00
5901477136832,CG80302-59,5901477136832,1,100.00,110.00
5901477136849,CG80302-61_65,5901477136849,1,400.00,400.00
5901477136856,CG80302-63,5901477136856,1,105.00,105.00
5901477136863,CG80302-64,5901477136863,1,100.00,100.00
5901477136870,CG80302-69,5901477136870,1,100.00,110.00
5901477136764,CG80302-7,5901477136764,1,100.00,110.00
5901477136917,CG80305-22,5901477136917,1,7900.00,8000.00
5901477136900,CG80305-34,5901477136900,1,50.00,60.00
5901477136894,CG80305-36,5901477136894,1,97.00,97.00
5901477136955,CG80305-7,5901477136955,1,50.00,60.00
5901477136948,CG80305-9,5901477136948,1,100.00,110.00
5901477137051,CG80410-10,5901477137051,1,63.00,64.00
5901477137068,CG80410-11,5901477137068,1,690.00,770.00
5901477137075,CG80410-12,5901477137075,1,186.00,200.00
5901477137082,CG80410-14,5901477137082,1,63.00,64.00
5901477137099,CG80410-15,5901477137099,1,79.00,84.00
5901477137105,CG80410-16,5901477137105,1,473.00,500.00
5901477137112,CG80410-17,5901477137112,1,79.00,84.00
5901477137129,CG80410-18,5901477137129,1,79.00,84.00
5901477137136,CG80410-19,5901477137136,1,79.00,84.00
5901477137143,CG80410-20,5901477137143,1,63.00,64.00
5901477137150,CG80410-21,5901477137150,1,63.00,64.00
5901477137167,CG80410-22,5901477137167,1,230.00,243.00
5901477137174,CG80410-23,5901477137174,1,63.00,64.00
5901477137181,CG80410-24,5901477137181,1,63.00,64.00
5901477137198,CG80410-3,5901477137198,1,79.00,84.00
5901477137204,CG80410-7,5901477137204,1,63.00,64.00
5901477137211,CG80410-8,5901477137211,1,63.00,64.00
5901477137228,CG80410-9,5901477137228,1,63.00,64.00
5901477137235,CG80411-10,5901477137235,1,63.00,64.00
5901477137242,CG80411-11,5901477137242,1,745.00,825.00
5901477137259,CG80411-12,5901477137259,1,186.00,200.00
5901477137266,CG80411-14,5901477137266,1,79.00,84.00
5901477137273,CG80411-15,5901477137273,1,230.00,243.00
5901477137280,CG80411-16,5901477137280,1,79.00,84.00
5901477137297,CG80411-17,5901477137297,1,63.00,64.00
5901477137303,CG80411-18,5901477137303,1,79.00,84.00
5901477137310,CG80411-19,5901477137310,1,63.00,64.00
5901477137327,CG80411-20,5901477137327,1,63.00,64.00
5901477137334,CG80411-21,5901477137334,1,79.00,84.00
5901477137341,CG80411-22,5901477137341,1,186.00,200.00
5901477137358,CG80411-23,5901477137358,1,63.00,64.00
5901477137365,CG80411-24,5901477137365,1,63.00,64.00
5901477137372,CG80411-25,5901477137372,1,79.00,84.00
5901477137389,CG80411-28,5901477137389,1,63.00,64.00
5901477137396,CG80411-29,5901477137396,1,79.00,84.00
5901477137402,CG80411-3,5901477137402,1,79.00,84.00
5901477137419,CG80411-30,5901477137419,1,473.00,500.00
5901477137426,CG80411-5,5901477137426,1,63.00,64.00
5901477137433,CG80411-6,5901477137433,1,63.00,64.00
5901477137440,CG80411-7,5901477137440,1,63.00,64.00
5901477137457,CG80411-8,5901477137457,1,63.00,64.00
5901477137464,CG80411-9,5901477137464,1,63.00,64.00
5901477137471,CG80412-10,5901477137471,1,63.00,64.00
5901477137488,CG80412-11,5901477137488,1,1275.00,1355.00
5901477137495,CG80412-12,5901477137495,1,186.00,200.00
5901477137501,CG80412-14,5901477137501,1,79.00,84.00
5901477137518,CG80412-15,5901477137518,1,230.00,243.00
5901477137525,CG80412-16,5901477137525,1,79.00,84.00
5901477137532,CG80412-17,5901477137532,1,63.00,64.00
5901477137549,CG80412-18,5901477137549,1,79.00,84.00
5901477137556,CG80412-19,5901477137556,1,63.00,64.00
5901477137563,CG80412-20,5901477137563,1,79.00,84.00
5901477137570,CG80412-21,5901477137570,1,79.00,84.00
5901477137587,CG80412-22,5901477137587,1,79.00,84.00
5901477137594,CG80412-23,5901477137594,1,63.00,64.00
5901477137600,CG80412-24,5901477137600,1,63.00,64.00
5901477137617,CG80412-25,5901477137617,1,63.00,64.00
5901477137624,CG80412-26,5901477137624,1,79.00,84.00
5901477137631,CG80412-28,5901477137631,1,79.00,84.00
5901477137648,CG80412-29,5901477137648,1,63.00,64.00
5901477137655,CG80412-3,5901477137655,1,79.00,84.00
5901477137662,CG80412-30,5901477137662,1,79.00,84.00
5901477137679,CG80412-31,5901477137679,1,473.00,500.00
5901477137686,CG80412-5,5901477137686,1,63.00,64.00
5901477137693,CG80412-6,5901477137693,1,63.00,64.00
5901477137709,CG80412-7,5901477137709,1,63.00,64.00
5901477137716,CG80412-8,5901477137716,1,63.00,64.00
5901477137723,CG80412-9,5901477137723,1,63.00,64.00
5901477137747,CG80420-13,5901477137747,1,128.00,144.00
5901477137754,CG80420-15,5901477137754,1,40.00,46.00
5901477137761,CG80420-20,5901477137761,1,102.00,112.00
5901477137778,CG80420-23,5901477137778,1,102.00,112.00
5901477137785,CG80420-31,5901477137785,1,40.00,46.00
5901477137792,CG80420-33,5901477137792,1,40.00,46.00
5901477137808,CG80420-34,5901477137808,1,40.00,46.00
5901477137815,CG80420-36,5901477137815,1,128.00,144.00
5901477137822,CG80420-38,5901477137822,1,25.00,31.00
5901477137839,CG80420-40,5901477137839,1,158.00,178.00
5901477137846,CG80420-41,5901477137846,1,2983.00,3250.00
5901477137853,CG80420-43,5901477137853,1,25.00,31.00
5901477137860,CG80420-7,5901477137860,1,25.00,31.00
5901477137877,CG80421-16,5901477137877,1,25.00,31.00
5901477137884,CG80421-20,5901477137884,1,102.00,112.00
5901477137891,CG80421-23,5901477137891,1,102.00,112.00
5901477137907,CG80421-32,5901477137907,1,40.00,46.00
5901477137914,CG80421-34,5901477137914,1,25.00,31.00
5901477137921,CG80421-35,5901477137921,1,40.00,46.00
5901477137938,CG80421-36,5901477137938,1,40.00,46.00
5901477137945,CG80421-38,5901477137945,1,128.00,144.00
5901477137952,CG80421-40,5901477137952,1,25.00,31.00
5901477137969,CG80421-44,5901477137969,1,2983.00,3250.00
5901477137976,CG80421-45,5901477137976,1,158.00,178.00
5901477137983,CG80422-14,5901477137983,1,25.00,31.00
5901477137990,CG80422-17,5901477137990,1,101.00,121.00
5901477138003,CG80422-23,5901477138003,1,101.00,121.00
5901477138010,CG80422-31,5901477138010,1,40.00,46.00
5901477138027,CG80422-33,5901477138027,1,40.00,46.00
5901477138034,CG80422-34,5901477138034,1,40.00,46.00
5901477138041,CG80422-39,5901477138041,1,25.00,31.00
5901477138058,CG80422-40,5901477138058,1,158.00,178.00
5901477138065,CG80422-41,5901477138065,1,3450.00,3850.00
5901477138072,CG80422-49,5901477138072,1,40.00,46.00
5901477138089,CG80422-50,5901477138089,1,128.00,144.00
5901477138096,CG80425-17,5901477138096,1,25.00,31.00
5901477138102,CG80425-24,5901477138102,1,25.00,31.00
5901477138119,CG80425-32,5901477138119,1,40.00,46.00
5901477138126,CG80425-34,5901477138126,1,25.00,31.00
5901477138133,CG80425-35,5901477138133,1,40.00,46.00
5901477138140,CG80425-36,5901477138140,1,40.00,46.00
5901477138157,CG80425-38,5901477138157,1,128.00,144.00
5901477138164,CG80425-40,5901477138164,1,25.00,31.00
5901477138171,CG80425-42,5901477138171,1,40.00,46.00
5901477138188,CG80425-46,5901477138188,1,2983.00,3250.00
5901477138195,CG80425-47,5901477138195,1,158.00,178.00
5901477135941,CG81031A,5901477135941,1,45.00,50.00
5901477135958,CG81031B,5901477135958,1,110.00,120.00
5901477135965,CG81031C,5901477135965,1,130.00,140.00
5901477135972,CG81031D,5901477135972,1,50.00,53.00
5901477135989,CG81031E,5901477135989,1,70.00,73.00
5901477135996,CG81031F,5901477135996,1,98.00,101.00
5901477136009,CG81031G,5901477136009,1,143.00,156.00
5901477138232,CG81040-13,5901477138232,1,500.00,550.00
5901477138249,CG81040-25,5901477138249,1,2500.00,3000.00
5901477138256,CG81040-32,5901477138256,1,1750.00,2000.00
5901477138263,CG81040-47,5901477138263,1,600.00,700.00
5901477166723,CG81041-6,5901477166723,1,500.00,600.00
5901477138287,CG81040-63,5901477138287,1,500.00,567.00
5901477142192,CG81041A,5901477142192,1,100.00,0.00
5901477142208,CG81041B,5901477142208,1,100.00,0.00
5901477134562,CG81052-24,5901477134562,1,600.00,700.00
5901477134586,CG81052-33,5901477134586,1,200.00,250.00
5901477134593,CG81052-37,5901477134593,1,100.00,120.00
5901477138782,CG81055-02,5901477138782,1,150.00,150.00
5901477138799,CG81055-03,5901477138799,1,50.00,50.00
5901477138805,CG81055-08,5901477138805,1,500.00,500.00
5901477138812,CG81055-17,5901477138812,1,100.00,100.00
5901477138829,CG81055-19,5901477138829,1,108.00,0.00
5901477138836,CG81055-22,5901477138836,1,200.00,200.00
5901477138843,CG81055-28,5901477138843,1,108.00,0.00
5901477138850,CG81055-36,5901477138850,1,200.00,200.00
5901477138867,CG81055-37,5901477138867,1,250.00,250.00
5901477138874,CG81055-38,5901477138874,1,200.00,200.00
5901477138881,CG81055-42,5901477138881,1,108.00,0.00
5901477138898,CG81055-43,5901477138898,1,50.00,50.00
5901477138904,CG81055-46,5901477138904,1,108.00,0.00
5901477138911,CG81055-47,5901477138911,1,108.00,0.00
5901477138928,CG81055-48,5901477138928,1,108.00,0.00
5901477138935,CG81055-49,5901477138935,1,108.00,0.00
5901477138942,CG81055-50,5901477138942,1,108.00,0.00
5901477138959,CG81055-51,5901477138959,1,108.00,0.00
5901477138966,CG81055-52,5901477138966,1,108.00,0.00
5901477138973,CG81055-53,5901477138973,1,108.00,0.00
5901477135088,CG81080-102,5901477135088,1,300.00,320.00
5901477135095,CG81080-2,5901477135095,1,300.00,300.00
5901477142215,CG81080-26,5901477142215,1,10.00,0.00
5901477135101,CG81080-38,5901477135101,1,100.00,110.00
5901477135118,CG81080-43,5901477135118,1,60.00,70.00
5901477135125,CG81080-44,5901477135125,1,200.00,200.00
5901477142222,CG81214-1,5901477142222,1,78.00,93.00
5901477142239,CG81402A,5901477142239,1,5850.00,5940.00
5901477142246,CG81403-405,5901477142246,1,1360.00,0.00
5901477135903,CG83015-1,5901477135903,1,24.00,27.00
5901477135910,CG83016-1,5901477135910,1,35.00,45.00
5901477142321,CG83050-13,5901477142321,1,310.00,330.00
5901477142338,CG83050-18,5901477142338,1,320.00,320.00
5901477142345,CG83050-51,5901477142345,1,220.00,0.00
5901477142352,CG83050-77,5901477142352,1,220.00,0.00
5901477142369,CG83050-90,5901477142369,1,200.00,210.00
5901477142376,CG83050-94,5901477142376,1,220.00,0.00
5901477142383,CG83051-101,5901477142383,1,240.00,0.00
5901477142390,CG83051-13,5901477142390,1,600.00,640.00
5901477142406,CG83051-18,5901477142406,1,500.00,0.00
5901477142413,CG83051-41,5901477142413,1,500.00,0.00
5901477142420,CG83051-59,5901477142420,1,240.00,0.00
5901477142437,CG83051-80,5901477142437,1,60.00,60.00
5901477142444,CG83051-84,5901477142444,1,240.00,0.00
5901477139888,CG83055-13,5901477139888,1,450.00,460.00
5901477139895,CG83055-18,5901477139895,1,300.00,330.00
5901477139901,CG83055-28,5901477139901,1,585.00,635.00
5901477139918,CG83055-35,5901477139918,1,510.00,570.00
5901477139925,CG83055-51,5901477139925,1,585.00,635.00
5901477139932,CG83055-77,5901477139932,1,200.00,218.00
5901477139949,CG83055-90,5901477139949,1,280.00,290.00
5901477139956,CG83056-101,5901477139956,1,200.00,218.00
