ean,geko_variant_stock_id,price_type,net_value,gross_value,currency
5901477130663,,base_product_standard,0.67,0.67,PLN
5901477130670,1,variant_standard,3.11,3.11,PLN
5901477130670,,base_product_standard,3.11,3.11,PLN
5901477130687,1,variant_standard,4,4,PLN
5901477130687,,base_product_standard,4,4,PLN
5901477130694,1,variant_standard,4.6,4.6,PLN
5901477130694,,base_product_standard,4.6,4.6,PLN
5901477130700,1,variant_standard,25.6,25.6,PLN
5901477130700,,base_product_standard,25.6,25.6,PLN
5901477130717,1,variant_standard,8.46,8.46,PLN
5901477130717,,base_product_standard,8.46,8.46,PLN
5901477130724,1,variant_standard,6.68,6.68,PLN
5901477130724,,base_product_standard,6.68,6.68,PLN
5901477130731,1,variant_standard,48.97,48.97,PLN
5901477130731,,base_product_standard,48.97,48.97,PLN
5901477130748,1,variant_standard,10.91,10.91,PLN
5901477130748,,base_product_standard,10.91,10.91,PLN
5901477130755,1,variant_standard,4.66,4.66,PLN
5901477130755,,base_product_standard,4.66,4.66,PLN
5901477130762,1,variant_standard,1.92,1.92,PLN
5901477130762,,base_product_standard,1.92,1.92,PLN
5901477130779,1,variant_standard,4.66,4.66,PLN
5901477130779,,base_product_standard,4.66,4.66,PLN
5901477130786,1,variant_standard,3.84,3.84,PLN
5901477130786,,base_product_standard,3.84,3.84,PLN
5901477130793,1,variant_standard,8.9,8.9,PLN
5901477130793,,base_product_standard,8.9,8.9,PLN
5901477130809,1,variant_standard,7.35,7.35,PLN
5901477130809,,base_product_standard,7.35,7.35,PLN
5901477130816,1,variant_standard,57.9,57.9,PLN
5901477130816,,base_product_standard,57.9,57.9,PLN
5901477130823,1,variant_standard,13.23,13.23,PLN
5901477130823,,base_product_standard,13.23,13.23,PLN
5901477130830,1,variant_standard,20.04,20.04,PLN
5901477130830,,base_product_standard,20.04,20.04,PLN
5901477140785,1,variant_standard,9.78,9.78,PLN
5901477140785,,base_product_standard,9.78,9.78,PLN
5901477140877,1,variant_standard,8.94,8.94,PLN
5901477140877,,base_product_standard,8.94,8.94,PLN
5901477140884,1,variant_standard,4.84,4.84,PLN
5901477140884,,base_product_standard,4.84,4.84,PLN
5901477140891,1,variant_standard,7.92,7.92,PLN
5901477140891,,base_product_standard,7.92,7.92,PLN
5901477140907,1,variant_standard,7.92,7.92,PLN
5901477140907,,base_product_standard,7.92,7.92,PLN
5901477140914,1,variant_standard,4.79,4.79,PLN
5901477140914,,base_product_standard,4.79,4.79,PLN
5901477140921,1,variant_standard,6,6,PLN
5901477140921,,base_product_standard,6,6,PLN
5901477140938,1,variant_standard,8.39,8.39,PLN
5901477140938,,base_product_standard,8.39,8.39,PLN
5901477140945,1,variant_standard,4.2,4.2,PLN
5901477140945,,base_product_standard,4.2,4.2,PLN
5901477140952,1,variant_standard,5.26,5.26,PLN
5901477140952,,base_product_standard,5.26,5.26,PLN
5901477140969,1,variant_standard,7.92,7.92,PLN
5901477140969,,base_product_standard,7.92,7.92,PLN
5901477140976,1,variant_standard,7.92,7.92,PLN
5901477140976,,base_product_standard,7.92,7.92,PLN
5901477133169,1,variant_standard,1.86,1.86,PLN
5901477133169,,base_product_standard,1.86,1.86,PLN
5901477133176,1,variant_standard,2.34,2.34,PLN
5901477133176,,base_product_standard,2.34,2.34,PLN
5901477133183,1,variant_standard,7.22,7.22,PLN
5901477133183,,base_product_standard,7.22,7.22,PLN
5901477141270,1,variant_standard,52.55,52.55,PLN
5901477141270,,base_product_standard,52.55,52.55,PLN
5901477141287,1,variant_standard,52.55,52.55,PLN
5901477141287,,base_product_standard,52.55,52.55,PLN
5901477141300,1,variant_standard,1.94,1.94,PLN
5901477141300,,base_product_standard,1.94,1.94,PLN
5901477141324,1,variant_standard,2.98,2.98,PLN
5901477141324,,base_product_standard,2.98,2.98,PLN
5901477141348,1,variant_standard,0.19,0.19,PLN
5901477141348,,base_product_standard,0.19,0.19,PLN
5901477141362,1,variant_standard,0.97,0.97,PLN
5901477141362,,base_product_standard,0.97,0.97,PLN
5901477141386,1,variant_standard,0.76,0.76,PLN
5901477141386,,base_product_standard,0.76,0.76,PLN
5901477141393,1,variant_standard,0.77,0.77,PLN
5901477141393,,base_product_standard,0.77,0.77,PLN
5901477141409,1,variant_standard,0.36,0.36,PLN
5901477141409,,base_product_standard,0.36,0.36,PLN
5901477141416,1,variant_standard,9.32,9.32,PLN
5901477141416,,base_product_standard,9.32,9.32,PLN
5901477141423,1,variant_standard,2.17,2.17,PLN
5901477141423,,base_product_standard,2.17,2.17,PLN
5901477141430,1,variant_standard,15.09,15.09,PLN
5901477141430,,base_product_standard,15.09,15.09,PLN
5901477141447,1,variant_standard,4.77,4.77,PLN
5901477141447,,base_product_standard,4.77,4.77,PLN
5901477141454,1,variant_standard,0.58,0.58,PLN
5901477141454,,base_product_standard,0.58,0.58,PLN
5901477130946,1,variant_standard,5.6,5.6,PLN
5901477130946,,base_product_standard,5.6,5.6,PLN
5901477130953,1,variant_standard,1.99,1.99,PLN
5901477130953,,base_product_standard,1.99,1.99,PLN
5901477130960,1,variant_standard,18.49,18.49,PLN
5901477130960,,base_product_standard,18.49,18.49,PLN
5901477130977,1,variant_standard,10.94,10.94,PLN
5901477130977,,base_product_standard,10.94,10.94,PLN
5901477130984,1,variant_standard,2.08,2.08,PLN
5901477130984,,base_product_standard,2.08,2.08,PLN
5901477130991,1,variant_standard,9.36,9.36,PLN
5901477130991,,base_product_standard,9.36,9.36,PLN
5901477131004,1,variant_standard,1.17,1.17,PLN
5901477131004,,base_product_standard,1.17,1.17,PLN
5901477131011,1,variant_standard,5.15,5.15,PLN
5901477131011,,base_product_standard,5.15,5.15,PLN
5901477131035,1,variant_standard,4.56,4.56,PLN
5901477131035,,base_product_standard,4.56,4.56,PLN
5901477131059,1,variant_standard,31.61,31.61,PLN
5901477131059,,base_product_standard,31.61,31.61,PLN
5901477131080,1,variant_standard,0.93,0.93,PLN
5901477131080,,base_product_standard,0.93,0.93,PLN
5901477131097,1,variant_standard,1.32,1.32,PLN
5901477131097,,base_product_standard,1.32,1.32,PLN
5901477131103,1,variant_standard,5.08,5.08,PLN
5901477131103,,base_product_standard,5.08,5.08,PLN
5901477131110,1,variant_standard,8.64,8.64,PLN
5901477131110,,base_product_standard,8.64,8.64,PLN
5901477131127,1,variant_standard,0.44,0.44,PLN
5901477131127,,base_product_standard,0.44,0.44,PLN
5901477131134,1,variant_standard,2.57,2.57,PLN
5901477131134,,base_product_standard,2.57,2.57,PLN
5901477131141,1,variant_standard,3.04,3.04,PLN
5901477131141,,base_product_standard,3.04,3.04,PLN
5901477131158,1,variant_standard,2.57,2.57,PLN
5901477131158,,base_product_standard,2.57,2.57,PLN
5901477131165,1,variant_standard,6.78,6.78,PLN
5901477131165,,base_product_standard,6.78,6.78,PLN
5901477131172,1,variant_standard,43.2,43.2,PLN
5901477131172,,base_product_standard,43.2,43.2,PLN
5901477131189,1,variant_standard,4.45,4.45,PLN
5901477131189,,base_product_standard,4.45,4.45,PLN
5901477131196,1,variant_standard,184.74,184.74,PLN
5901477131196,,base_product_standard,184.74,184.74,PLN
5901477131202,1,variant_standard,0.44,0.44,PLN
5901477131202,,base_product_standard,0.44,0.44,PLN
5901477131219,1,variant_standard,37.44,37.44,PLN
5901477131219,,base_product_standard,37.44,37.44,PLN
5901477131233,1,variant_standard,3.51,3.51,PLN
5901477131233,,base_product_standard,3.51,3.51,PLN
5901477131240,1,variant_standard,1.16,1.16,PLN
5901477131240,,base_product_standard,1.16,1.16,PLN
5901477141478,1,variant_standard,16.39,16.39,PLN
5901477141478,,base_product_standard,16.39,16.39,PLN
5901477141485,1,variant_standard,21.53,21.53,PLN
5901477141485,,base_product_standard,21.53,21.53,PLN
5901477141492,1,variant_standard,19.68,19.68,PLN
5901477141492,,base_product_standard,19.68,19.68,PLN
5901477141508,1,variant_standard,36.74,36.74,PLN
5901477141508,,base_product_standard,36.74,36.74,PLN
5901477141515,1,variant_standard,19.68,19.68,PLN
5901477141515,,base_product_standard,19.68,19.68,PLN
5901477141522,1,variant_standard,40.06,40.06,PLN
5901477141522,,base_product_standard,40.06,40.06,PLN
5901477130380,1,variant_standard,5.85,5.85,PLN
5901477130380,,base_product_standard,5.85,5.85,PLN
5901477130397,1,variant_standard,0.88,0.88,PLN
5901477130397,,base_product_standard,0.88,0.88,PLN
5901477130403,1,variant_standard,14.68,14.68,PLN
5901477130403,,base_product_standard,14.68,14.68,PLN
5901477130410,1,variant_standard,0.88,0.88,PLN
5901477130410,,base_product_standard,0.88,0.88,PLN
5901477141539,1,variant_standard,7.89,7.89,PLN
5901477141539,,base_product_standard,7.89,7.89,PLN
5901477130427,1,variant_standard,1.17,1.17,PLN
5901477130427,,base_product_standard,1.17,1.17,PLN
5901477130434,1,variant_standard,1.54,1.54,PLN
5901477130434,,base_product_standard,1.54,1.54,PLN
5901477130441,1,variant_standard,0.96,0.96,PLN
5901477130441,,base_product_standard,0.96,0.96,PLN
5901477130458,1,variant_standard,6.61,6.61,PLN
5901477130458,,base_product_standard,6.61,6.61,PLN
5901477130465,1,variant_standard,0.96,0.96,PLN
5901477130465,,base_product_standard,0.96,0.96,PLN
5901477130472,1,variant_standard,7.34,7.34,PLN
5901477130472,,base_product_standard,7.34,7.34,PLN
5901477130489,1,variant_standard,14.68,14.68,PLN
5901477130489,,base_product_standard,14.68,14.68,PLN
5901477130496,1,variant_standard,2.2,2.2,PLN
5901477130496,,base_product_standard,2.2,2.2,PLN
5901477130502,1,variant_standard,1.76,1.76,PLN
5901477130502,,base_product_standard,1.76,1.76,PLN
5901477130519,1,variant_standard,1.57,1.57,PLN
5901477130519,,base_product_standard,1.57,1.57,PLN
5901477130526,1,variant_standard,2.64,2.64,PLN
5901477130526,,base_product_standard,2.64,2.64,PLN
5901477130533,1,variant_standard,15.42,15.42,PLN
5901477130533,,base_product_standard,15.42,15.42,PLN
5901477130540,1,variant_standard,0.96,0.96,PLN
5901477130540,,base_product_standard,0.96,0.96,PLN
5901477130557,1,variant_standard,6.61,6.61,PLN
5901477130557,,base_product_standard,6.61,6.61,PLN
5901477130564,1,variant_standard,12.85,12.85,PLN
5901477130564,,base_product_standard,12.85,12.85,PLN
5901477130571,1,variant_standard,2.05,2.05,PLN
5901477130571,,base_product_standard,2.05,2.05,PLN
5901477130588,1,variant_standard,2.47,2.47,PLN
5901477130588,,base_product_standard,2.47,2.47,PLN
5901477130595,1,variant_standard,1.98,1.98,PLN
5901477130595,,base_product_standard,1.98,1.98,PLN
5901477130601,1,variant_standard,0.75,0.75,PLN
5901477130601,,base_product_standard,0.75,0.75,PLN
5901477130618,1,variant_standard,2.04,2.04,PLN
5901477130618,,base_product_standard,2.04,2.04,PLN
5901477131332,1,variant_standard,2.16,2.16,PLN
5901477131332,,base_product_standard,2.16,2.16,PLN
5901477131349,1,variant_standard,1.97,1.97,PLN
5901477131349,,base_product_standard,1.97,1.97,PLN
5901477131356,1,variant_standard,1.23,1.23,PLN
5901477131356,,base_product_standard,1.23,1.23,PLN
5901477131363,1,variant_standard,1.55,1.55,PLN
5901477131363,,base_product_standard,1.55,1.55,PLN
5901477131370,1,variant_standard,7.16,7.16,PLN
5901477131370,,base_product_standard,7.16,7.16,PLN
5901477131387,1,variant_standard,0.49,0.49,PLN
5901477131387,,base_product_standard,0.49,0.49,PLN
5901477131394,1,variant_standard,1.22,1.22,PLN
5901477131394,,base_product_standard,1.22,1.22,PLN
5901477131400,1,variant_standard,1.22,1.22,PLN
5901477131400,,base_product_standard,1.22,1.22,PLN
5901477131417,1,variant_standard,4.95,4.95,PLN
5901477131417,,base_product_standard,4.95,4.95,PLN
5901477131424,1,variant_standard,1.24,1.24,PLN
5901477131424,,base_product_standard,1.24,1.24,PLN
5901477131431,1,variant_standard,10.84,10.84,PLN
5901477131431,,base_product_standard,10.84,10.84,PLN
5901477131448,1,variant_standard,1.97,1.97,PLN
5901477131448,,base_product_standard,1.97,1.97,PLN
5901477131455,1,variant_standard,8.93,8.93,PLN
5901477131455,,base_product_standard,8.93,8.93,PLN
5901477131462,1,variant_standard,1.24,1.24,PLN
5901477131462,,base_product_standard,1.24,1.24,PLN
5901477131479,1,variant_standard,0.78,0.78,PLN
5901477131479,,base_product_standard,0.78,0.78,PLN
5901477131486,1,variant_standard,5.33,5.33,PLN
5901477131486,,base_product_standard,5.33,5.33,PLN
5901477131493,1,variant_standard,1.22,1.22,PLN
5901477131493,,base_product_standard,1.22,1.22,PLN
5901477131509,1,variant_standard,1.61,1.61,PLN
5901477131509,,base_product_standard,1.61,1.61,PLN
5901477131516,1,variant_standard,1.11,1.11,PLN
5901477131516,,base_product_standard,1.11,1.11,PLN
5901477131523,1,variant_standard,1.22,1.22,PLN
5901477131523,,base_product_standard,1.22,1.22,PLN
5901477131530,1,variant_standard,2.23,2.23,PLN
5901477131530,,base_product_standard,2.23,2.23,PLN
5901477142031,1,variant_standard,29.52,29.52,PLN
5901477142031,,base_product_standard,29.52,29.52,PLN
5901477142048,1,variant_standard,8.19,8.19,PLN
5901477142048,,base_product_standard,8.19,8.19,PLN
5901477142055,1,variant_standard,6.02,6.02,PLN
5901477142055,,base_product_standard,6.02,6.02,PLN
5901477142062,1,variant_standard,13.94,13.94,PLN
5901477142062,,base_product_standard,13.94,13.94,PLN
5901477142079,1,variant_standard,11.07,11.07,PLN
5901477142079,,base_product_standard,11.07,11.07,PLN
5901477142086,1,variant_standard,11.07,11.07,PLN
5901477142086,,base_product_standard,11.07,11.07,PLN
5901477142093,1,variant_standard,20.89,20.89,PLN
5901477142093,,base_product_standard,20.89,20.89,PLN
5901477142109,1,variant_standard,0.55,0.55,PLN
5901477142109,,base_product_standard,0.55,0.55,PLN
5901477142116,1,variant_standard,12.77,12.77,PLN
5901477142116,,base_product_standard,12.77,12.77,PLN
5901477142123,1,variant_standard,21.89,21.89,PLN
5901477142123,,base_product_standard,21.89,21.89,PLN
5901477142130,1,variant_standard,12.77,12.77,PLN
5901477142130,,base_product_standard,12.77,12.77,PLN
5901477142147,1,variant_standard,29.52,29.52,PLN
5901477142147,,base_product_standard,29.52,29.52,PLN
5901477142154,1,variant_standard,12.79,12.79,PLN
5901477142154,,base_product_standard,12.79,12.79,PLN
5901477142161,1,variant_standard,38.48,38.48,PLN
5901477142161,,base_product_standard,38.48,38.48,PLN
5901477134807,1,variant_standard,3.18,3.18,PLN
5901477134807,,base_product_standard,3.18,3.18,PLN
5901477134852,1,variant_standard,8.35,8.35,PLN
5901477134852,,base_product_standard,8.35,8.35,PLN
5901477134890,1,variant_standard,0.36,0.36,PLN
5901477134890,,base_product_standard,0.36,0.36,PLN
5901477134937,1,variant_standard,78.09,78.09,PLN
5901477134937,,base_product_standard,78.09,78.09,PLN
5901477134333,1,variant_standard,57.38,57.38,PLN
5901477134333,,base_product_standard,57.38,57.38,PLN
5901477134357,1,variant_standard,70.78,70.78,PLN
5901477134357,,base_product_standard,70.78,70.78,PLN
5901477134364,1,variant_standard,52.82,52.82,PLN
5901477134364,,base_product_standard,52.82,52.82,PLN
5901477140570,1,variant_standard,3.92,3.92,PLN
5901477140570,,base_product_standard,3.92,3.92,PLN
5901477133336,1,variant_standard,18.82,18.82,PLN
5901477133336,,base_product_standard,18.82,18.82,PLN
5901477133343,1,variant_standard,7.13,7.13,PLN
5901477133343,,base_product_standard,7.13,7.13,PLN
5901477133350,1,variant_standard,3.2,3.2,PLN
5901477133350,,base_product_standard,3.2,3.2,PLN
5901477133367,1,variant_standard,2.37,2.37,PLN
5901477133367,,base_product_standard,2.37,2.37,PLN
5901477133374,1,variant_standard,4.55,4.55,PLN
5901477133374,,base_product_standard,4.55,4.55,PLN
5901477133381,1,variant_standard,3.45,3.45,PLN
5901477133381,,base_product_standard,3.45,3.45,PLN
5901477133398,1,variant_standard,5.14,5.14,PLN
5901477133398,,base_product_standard,5.14,5.14,PLN
5901477133404,1,variant_standard,9.7,9.7,PLN
5901477133404,,base_product_standard,9.7,9.7,PLN
5901477133411,1,variant_standard,1.1,1.1,PLN
5901477133411,,base_product_standard,1.1,1.1,PLN
5901477133428,1,variant_standard,1.82,1.82,PLN
5901477133428,,base_product_standard,1.82,1.82,PLN
5901477133435,1,variant_standard,5.18,5.18,PLN
5901477133435,,base_product_standard,5.18,5.18,PLN
5901477133442,1,variant_standard,9.75,9.75,PLN
5901477133442,,base_product_standard,9.75,9.75,PLN
5901477133459,1,variant_standard,4.78,4.78,PLN
5901477133459,,base_product_standard,4.78,4.78,PLN
5901477133466,1,variant_standard,7.13,7.13,PLN
5901477133466,,base_product_standard,7.13,7.13,PLN
5901477133473,1,variant_standard,7.52,7.52,PLN
5901477133473,,base_product_standard,7.52,7.52,PLN
5901477133480,1,variant_standard,2.76,2.76,PLN
5901477133480,,base_product_standard,2.76,2.76,PLN
5901477136481,1,variant_standard,2.96,2.96,PLN
5901477136481,,base_product_standard,2.96,2.96,PLN
5901477133497,1,variant_standard,18.93,18.93,PLN
5901477133497,,base_product_standard,18.93,18.93,PLN
5901477133503,1,variant_standard,6.4,6.4,PLN
5901477133503,,base_product_standard,6.4,6.4,PLN
5901477133510,1,variant_standard,2.6,2.6,PLN
5901477133510,,base_product_standard,2.6,2.6,PLN
5901477133527,1,variant_standard,6.56,6.56,PLN
5901477133527,,base_product_standard,6.56,6.56,PLN
5901477133534,1,variant_standard,16.48,16.48,PLN
5901477133534,,base_product_standard,16.48,16.48,PLN
5901477133541,1,variant_standard,17.48,17.48,PLN
5901477133541,,base_product_standard,17.48,17.48,PLN
5901477133558,1,variant_standard,4.56,4.56,PLN
5901477133558,,base_product_standard,4.56,4.56,PLN
5901477133565,1,variant_standard,6.33,6.33,PLN
5901477133565,,base_product_standard,6.33,6.33,PLN
5901477133572,1,variant_standard,9.89,9.89,PLN
5901477133572,,base_product_standard,9.89,9.89,PLN
5901477133589,1,variant_standard,28,28,PLN
5901477133589,,base_product_standard,28,28,PLN
5901477133596,1,variant_standard,2.51,2.51,PLN
5901477133596,,base_product_standard,2.51,2.51,PLN
5901477138348,1,variant_standard,1.98,1.98,PLN
5901477138348,,base_product_standard,1.98,1.98,PLN
5901477138355,1,variant_standard,1.19,1.19,PLN
5901477138355,,base_product_standard,1.19,1.19,PLN
5901477138362,1,variant_standard,2.13,2.13,PLN
5901477138362,,base_product_standard,2.13,2.13,PLN
5901477138379,1,variant_standard,9.88,9.88,PLN
5901477138379,,base_product_standard,9.88,9.88,PLN
5901477138386,1,variant_standard,1.48,1.48,PLN
5901477138386,,base_product_standard,1.48,1.48,PLN
5901477138393,1,variant_standard,7.18,7.18,PLN
5901477138393,,base_product_standard,7.18,7.18,PLN
5901477138409,1,variant_standard,0.96,0.96,PLN
5901477138409,,base_product_standard,0.96,0.96,PLN
5901477138416,1,variant_standard,0.61,0.61,PLN
5901477138416,,base_product_standard,0.61,0.61,PLN
5901477138423,1,variant_standard,2,2,PLN
5901477138423,,base_product_standard,2,2,PLN
5901477138430,1,variant_standard,0.99,0.99,PLN
5901477138430,,base_product_standard,0.99,0.99,PLN
5901477138447,1,variant_standard,1.98,1.98,PLN
5901477138447,,base_product_standard,1.98,1.98,PLN
5901477138454,1,variant_standard,0.61,0.61,PLN
5901477138454,,base_product_standard,0.61,0.61,PLN
5901477138461,1,variant_standard,4.71,4.71,PLN
5901477138461,,base_product_standard,4.71,4.71,PLN
5901477138478,1,variant_standard,3.72,3.72,PLN
5901477138478,,base_product_standard,3.72,3.72,PLN
5901477138485,1,variant_standard,3.47,3.47,PLN
5901477138485,,base_product_standard,3.47,3.47,PLN
5901477138492,1,variant_standard,2.44,2.44,PLN
5901477138492,,base_product_standard,2.44,2.44,PLN
5901477138508,1,variant_standard,1.22,1.22,PLN
5901477138508,,base_product_standard,1.22,1.22,PLN
5901477138515,1,variant_standard,3.66,3.66,PLN
5901477138515,,base_product_standard,3.66,3.66,PLN
5901477138522,1,variant_standard,8.67,8.67,PLN
5901477138522,,base_product_standard,8.67,8.67,PLN
5901477138539,1,variant_standard,0.96,0.96,PLN
5901477138539,,base_product_standard,0.96,0.96,PLN
5901477138546,1,variant_standard,1.22,1.22,PLN
5901477138546,,base_product_standard,1.22,1.22,PLN
5901477138553,1,variant_standard,7.18,7.18,PLN
5901477138553,,base_product_standard,7.18,7.18,PLN
5901477138560,1,variant_standard,1.12,1.12,PLN
5901477138560,,base_product_standard,1.12,1.12,PLN
5901477138577,1,variant_standard,2.97,2.97,PLN
5901477138577,,base_product_standard,2.97,2.97,PLN
5901477138584,1,variant_standard,0.72,0.72,PLN
5901477138584,,base_product_standard,0.72,0.72,PLN
5901477138591,1,variant_standard,4.34,4.34,PLN
5901477138591,,base_product_standard,4.34,4.34,PLN
5901477138607,1,variant_standard,0.72,0.72,PLN
5901477138607,,base_product_standard,0.72,0.72,PLN
5901477138614,1,variant_standard,0.72,0.72,PLN
5901477138614,,base_product_standard,0.72,0.72,PLN
5901477138621,1,variant_standard,1.22,1.22,PLN
5901477138621,,base_product_standard,1.22,1.22,PLN
5901477138638,1,variant_standard,3.84,3.84,PLN
5901477138638,,base_product_standard,3.84,3.84,PLN
5901477138645,1,variant_standard,1.35,1.35,PLN
5901477138645,,base_product_standard,1.35,1.35,PLN
5901477138652,1,variant_standard,1.1,1.1,PLN
5901477138652,,base_product_standard,1.1,1.1,PLN
5901477138669,1,variant_standard,2.61,2.61,PLN
5901477138669,,base_product_standard,2.61,2.61,PLN
5901477138676,1,variant_standard,13.23,13.23,PLN
5901477138676,,base_product_standard,13.23,13.23,PLN
5901477138683,1,variant_standard,1.51,1.51,PLN
5901477138683,,base_product_standard,1.51,1.51,PLN
5901477140020,1,variant_standard,1.01,1.01,PLN
5901477140020,,base_product_standard,1.01,1.01,PLN
5901477138690,1,variant_standard,1.43,1.43,PLN
5901477138690,,base_product_standard,1.43,1.43,PLN
5901477138706,1,variant_standard,12.46,12.46,PLN
5901477138706,,base_product_standard,12.46,12.46,PLN
5901477138713,1,variant_standard,0.9,0.9,PLN
5901477138713,,base_product_standard,0.9,0.9,PLN
5901477138720,1,variant_standard,8.45,8.45,PLN
5901477138720,,base_product_standard,8.45,8.45,PLN
5901477138737,1,variant_standard,0.96,0.96,PLN
5901477138737,,base_product_standard,0.96,0.96,PLN
5901477138744,1,variant_standard,0.85,0.85,PLN
5901477138744,,base_product_standard,0.85,0.85,PLN
5901477138751,1,variant_standard,0.92,0.92,PLN
5901477138751,,base_product_standard,0.92,0.92,PLN
5901477138768,1,variant_standard,3.86,3.86,PLN
5901477138768,,base_product_standard,3.86,3.86,PLN
5901477138775,1,variant_standard,4.56,4.56,PLN
5901477138775,,base_product_standard,4.56,4.56,PLN
5901477136672,1,variant_standard,5.1,5.1,PLN
5901477136672,,base_product_standard,5.1,5.1,PLN
5901477136634,1,variant_standard,2.99,2.99,PLN
5901477136634,,base_product_standard,2.99,2.99,PLN
5901477136689,1,variant_standard,1.46,1.46,PLN
5901477136689,,base_product_standard,1.46,1.46,PLN
5901477136696,1,variant_standard,12.21,12.21,PLN
5901477136696,,base_product_standard,12.21,12.21,PLN
5901477136702,1,variant_standard,3.47,3.47,PLN
5901477136702,,base_product_standard,3.47,3.47,PLN
5901477136719,1,variant_standard,5.76,5.76,PLN
5901477136719,,base_product_standard,5.76,5.76,PLN
5901477136641,1,variant_standard,1.95,1.95,PLN
5901477136641,,base_product_standard,1.95,1.95,PLN
5901477136726,1,variant_standard,2.59,2.59,PLN
5901477136726,,base_product_standard,2.59,2.59,PLN
5901477136658,1,variant_standard,5.37,5.37,PLN
5901477136658,,base_product_standard,5.37,5.37,PLN
5901477136733,1,variant_standard,36.14,36.14,PLN
5901477136733,,base_product_standard,36.14,36.14,PLN
5901477136665,1,variant_standard,18.98,18.98,PLN
5901477136665,,base_product_standard,18.98,18.98,PLN
5901477136740,1,variant_standard,48.42,48.42,PLN
5901477136740,,base_product_standard,48.42,48.42,PLN
5901477136771,1,variant_standard,6.08,6.08,PLN
5901477136771,,base_product_standard,6.08,6.08,PLN
5901477136788,1,variant_standard,2.77,2.77,PLN
5901477136788,,base_product_standard,2.77,2.77,PLN
5901477136795,1,variant_standard,2.28,2.28,PLN
5901477136795,,base_product_standard,2.28,2.28,PLN
5901477136801,1,variant_standard,1.98,1.98,PLN
5901477136801,,base_product_standard,1.98,1.98,PLN
5901477136887,1,variant_standard,2.9,2.9,PLN
5901477136887,,base_product_standard,2.9,2.9,PLN
5901477136511,1,variant_standard,15.62,15.62,PLN
5901477136511,,base_product_standard,15.62,15.62,PLN
5901477136528,1,variant_standard,2.77,2.77,PLN
5901477136528,,base_product_standard,2.77,2.77,PLN
5901477136535,1,variant_standard,3.28,3.28,PLN
5901477136535,,base_product_standard,3.28,3.28,PLN
5901477136542,1,variant_standard,3.04,3.04,PLN
5901477136542,,base_product_standard,3.04,3.04,PLN
5901477136559,1,variant_standard,6.3,6.3,PLN
5901477136559,,base_product_standard,6.3,6.3,PLN
5901477136566,1,variant_standard,11.88,11.88,PLN
