handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand,geko_category_id,geko_category_name,geko_category_path,mapping_timestamp
product_2f4b890c-7a32-fcbe-603e-be3953883823,Product,Luva Nitrile Preta com nylon +grossa prof,<p>Emabalado individualmente</p><p>Packs de 12 pares</p><p>Cxs de 240prs</p><p></p><p>Luva em Nitrile + grossa</p><p>Ideal para mecanica </p>,88efbe_7d5d8fbf796e40338ff42914af3f4916~mv2.jpg;88efbe_5d5fdb9f3cb944d985627140d9293b5c~mv2.jpg,Proteção e Segurança;Luvas de Protecção,,,0.49,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,"880600 - 8"";880601 - 9"";880602 - 10""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FERMAN,110002,Work Gloves,Health and Safety Articles\Work Gloves,2025-06-27T13:51:14.639428
product_57e8e241-1801-3f2f-59f4-78f9a1770c1d,Product,"Luva Nitrile azul 3/4"" grossa com Punho malha 10"" - 880127","<p>Embalado indivualmente</p><p>Packs 12 pares</p><p>Caixa exterior 120 pares</p><p></p><p>Características</p><p>Luvas Nitrilo  Azul  arejado  Punho Malha</p><p>Luvas Algodão Branco</p><p>Revestimento  2 camadas  Nitrilo Azul</p><p>Arejado, Punho malha</p><p>Ideal para processamento area :Industria Geral , Assemblagem , Auto .</p><p>Indicado para:</p><p></p><p>Indústria metal-mecânica</p><p>Manutenção industrial</p><p>Manuseio de peças húmidas ou oleosas</p><p>Construção civil</p><p>Manuseio de agentes abrasivos</p><p>Recolha de resíduos urbanos e industriais</p><p>Carga e descarga de materiais</p>",88efbe_869ea2f2cf984839adda41786eb00faa~mv2.jpg,Luvas de Protecção;Proteção e Segurança,,,0.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FERMAN,110002,Work Gloves,Health and Safety Articles\Work Gloves,2025-06-27T13:51:14.639466
product_3dfb7e15-db58-f02c-765d-5ef2bf3af341,Product,Extensão Eléctrica 25Mts x 2.5mm Bobine [900338],"<p>Embalado em caixa colorida</p><p>Cx Exterior de 2 unidades</p><p></p><p>O cabo de extensão elétrica em bobine é perfeito para qualquer casa, jardim, escritório ou estaleiro de construção. Equipado com estrutura térmica que protege contra o sobreaquecimento.</p><p></p><p>Características do produto:</p><p>tambor feito de material resistente a fissuras e impactos</p><p>estrutura de aço</p><p>tem suporte de cabo e um travão</p><p>4 tomadas 230</p><p>tomadas equipadas com abas</p><p>Especificações técnicas:</p><p>Comprimento: 25m</p><p>Secção transversal do cabo: 3x2,5mm2</p><p>Tipo de cabo: H05VV-F</p><p>Número de tomadas: 4*230V</p><p>Fusível térmico: SIM</p>",88efbe_abb0c32ff4384be0b6cc186366c20ffa~mv2.jpg,Eletricidade;Geral,,,27.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,2025-06-27T13:51:14.639722
product_76c7ea65-1f0f-7572-2f95-268b40be45cc,Product,Laminas pretas SK5 -18mm [10pcs] para Xizato -[890088/2],<p>Caixa interior de 20 embalagens </p><p>Preço vendido á embalagem de 10 unidades conforme foto </p>,88efbe_c6498925dc884db083d9c4e92eaf05eb~mv2.jpg,Geral,,,1.6,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110011,Cutting Tools,Tools for The Workshop and Garage\Cutting Tools,2025-06-27T13:51:14.639752
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Product,Cintas de Elevação Plana Dupla- CERTIFICADO ,"<p>Apresentamos as nossas lingas de cinto, que são uma ferramenta insubstituível na área do transporte e elevação de objetos pesados. Nossas eslingas de tecido são projetadas pensando na segurança, resistência e facilidade de uso para fornecer uma solução eficaz ao levantar e transportar uma variedade de cargas.</p><p></p><p>Principais características das lingas de cinto:</p><p>Materiais duráveis: Nossas lingas de cinto são feitas de materiais de alta qualidade, resistentes a estiramento e danos, como poliéster ou náilon. Esses materiais são caracterizados por alta resistência ao estresse, o que permite levantar com segurança até objetos pesados.</p><p>Aprovações e padrões: Nossas cintas possuem certificados e padrões EN apropriados, que confirmam que atendem aos mais altos padrões de segurança e qualidade. Você pode ter certeza de que nossas eslingas são testadas e comprovadas quanto à durabilidade e confiabilidade.</p><p>Ampla aplicação: As eslingas de cinto são usadas em vários campos e indústrias. Podem ser utilizados em armazéns, estaleiros de construção, transportes, indústria e garagens domésticas. São ideais para levantar e movimentar objetos pesados, como paletes, estruturas metálicas, máquinas ou móveis.</p><p>Exemplo de uso de lingas de cinto:</p><p>Movimentação de paletes: As lingas de correia são perfeitas para movimentar paletes com mercadorias em armazéns, salas de produção ou lojas. Graças a eles, você pode levantar e transportar com segurança cargas pesadas de paletes.</p><p>Instalação de estruturas de aço: As lingas de cinta são insubstituíveis na montagem e elevação de estruturas de aço. Permitem a elevação precisa e controlada de grandes elementos, garantindo um trabalho seguro e eficaz.</p><p>Máquinas e dispositivos móveis: As lingas de correia são usadas para mover e posicionar máquinas e dispositivos pesados ​​em seu destino. Eles também são usados ​​em oficinas de automóveis, por exemplo, na remoção de motores.</p><p></p><p>Especificações técnicas:</p><p></p><p>Material: Poliéster (PES)</p><p></p><p>Fator de segurança: 7:1</p><p></p><p>Cumpre a norma: EN 1492-1</p>",88efbe_f8e8f8f10f3f4df89c4ad6ef0b5adb04~mv2.jpg,Construção;Oficina Mecânica;Proteção e Segurança,,,2.89,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,4ton/6MT/120MM [AG03917];3Ton/4MT/90MM [AG03913];2Ton/4MT/60MM [AG03909];2Ton/3MT/60MM [AG03908];1Ton/3MT/30MM [AG03903/1];1Ton/2MT/30MM [AG03902];1Ton/1MT/30MM [AG03900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110012,General Tools,Tools for The Workshop and Garage\General Tools,2025-06-27T13:51:14.639811
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Variant,,,,,,,,27,TRUE,,,InStock,,,,,4ton/6MT/120MM [AG03917],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Variant,,,,,,,,1.6,TRUE,,,InStock,,,,,1Ton/3MT/30MM [AG03903/1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Variant,,,,,,,,,TRUE,,,InStock,,,,,1Ton/1MT/30MM [AG03900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Variant,,,,,,,,4.65,TRUE,,,InStock,,,,,2Ton/3MT/60MM [AG03908],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Variant,,,,,,,,11,TRUE,,,InStock,,,,,3Ton/4MT/90MM [AG03913],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Variant,,,,,,,,1,TRUE,,,InStock,,,,,1Ton/2MT/30MM [AG03902],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69f13d5d-018f-279f-3b39-3ee15736fa24,Variant,,,,,,,,6.54,TRUE,,,InStock,,,,,2Ton/4MT/60MM [AG03909],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_22f538c5-18e7-0b32-1d69-0474278fd257,Product,Extensão Eléctrica 3x1.5mm - Laranja ,<p>Embalado individualmente com autocolante e codigo barras</p><p></p><p>Cx interior de 5 unid</p><p>Cx exterior de 10 unid</p>,88efbe_9c00cf0ac5fb466a8270417ea4eb5820~mv2.jpeg,Eletricidade,,,6.99,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,20mts - 900255;10mts - 900254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110010,Cables and Extensions,Tools for Electricians\Cables and Extensions,2025-06-27T13:51:14.640047
product_31c8c276-61f0-8822-adda-b5d26381ef41,Product,Talocha para Lixa [ A0040],<p>Cx interior de 6unid</p><p>Cx exterior de 24unid</p><p></p><p></p>,88efbe_def5b187ce454147ae98dfab7d40d039~mv2.jpg;88efbe_261fd097d5b044ef99c500bb8fb4fe62~mv2.jpg,Construção,,,1.59,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110006,Trowels and Spatulas,Construction and Renovation\Hand Tools\Trowels and Spatulas,2025-06-27T13:51:14.640067
product_03256b05-8094-b927-fe41-0d6bb7802db2,Product,Máscara de Soldador AUTOMATIC [AK00291],"<p>Descrição do produto</p><p>Máscara de soldagem com escurecimento automático de chama</p><p>A viseira com escurecimento automático foi projetada para proteger seus olhos e rosto durante a soldagem contra faíscas, respingos e radiações UV e IR prejudiciais.</p><p></p><p>A máscara é adequada para soldagem por todos os métodos com arco elétrico - eletrodo coberto com MMA e MIG-MAG e TIG com proteção a gás semiautomática. Além disso, também é possível soldar pelo método TIG (-) – baixa corrente (20A).</p><p></p><p>O cassete de filtros contém dois fotossensores que respondem à luz do arco de soldagem, que identificam automaticamente o início da soldagem e ativam a função de autoescurecimento. Após terminar o trabalho, o filtro retorna automaticamente ao estado iluminado.</p><p></p><p>O filtro de escurecimento automático possui duas fontes de energia independentes:</p><p></p><p>bateria embutida alimentada por células solares</p><p>duas pilhas AAA externas</p><p>A possibilidade de ajuste dos parâmetros e tamanho da máscara permite adaptar adequadamente o produto ao tipo de trabalho realizado e às expectativas do cliente.</p><p></p><p>Características do produto</p><p>viseira em material polimérico resistente</p><p>amplo campo de visão</p><p>interruptor liga/desliga automático</p><p>ajuste do grau de escuridão e sensibilidade dos fotossensores</p><p>adaptação automática ao modo de soldagem</p><p>capacidade de ajustar a máscara ao tamanho da cabeça do usuário</p><p>luz</p><p>proteção contra radiação UV e IR</p><p>Dados técnicos</p><p>Grau de escurecimento em estado claro: 4 de acordo com DIN</p><p>Faixa de grau de escurecimento: 9 - 13 de acordo com DIN</p><p>Atraso de comutação: (claro/escuro): 1/10000 s</p><p>Atraso de comutação: (escuro/claro): 0,1 – 0,8</p><p>Proteção ocular de acordo com normas: EN379</p><p>Proteção facial de acordo com normas: EN175</p><p>Proteção UV/IR: completa</p><p>Temperatura operacional: -10°C a +65°C</p><p>Campo de visão: 92,5 x 42,5 mm</p><p>Dimensões do filtro: 110 x 90 x 9 mm</p><p>Sensibilidade: ajuste suave</p>",88efbe_c83e81b3553447cfbcacb88f48dca149~mv2.jpeg;88efbe_c0eb48f4c7ee46c68792a1cc8f0117cc~mv2.jpeg;88efbe_3a58a31753bc4817aa74a22caa218b0a~mv2.jpeg,Proteção e Segurança;Oficina Mecânica;Construção,,,14.99,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110012,General Tools,Tools for The Workshop and Garage\General Tools,2025-06-27T13:51:14.640150
product_770ddd07-11df-dca2-2468-173adab9d391,Product,Kit 4 pcs para Mangueira Rega [Borracha],"<p>Economize seu tempo e energia com nosso kit de aspersão de 1/2"" de 4 peças. Feito de material TPR durável, nosso kit garante confiabilidade, conveniência e eficiência. Se você precisa regar suas plantas ou limpar superfícies, nosso kit é a solução perfeita para você.</p><p></p><p>Características do produto:</p><p></p><p>Qualidade de acabamento: O conjunto é confeccionado em material TPR de alta qualidade, que garante durabilidade, resistência a danos e uso a longo prazo.</p><p></p><p>Operação simples: Ferramentas fáceis de usar que proporcionam comodidade e economia de tempo na hora de borrifar o jardim ou regar plantas.</p><p></p><p>Uso universal: O conjunto de 1/2"" é ideal para jardins domésticos, terraços e áreas verdes maiores.</p><p></p><p>Economia eficaz de água: Graças à regulação precisa do fluxo de água, você pode controlar a quantidade de água utilizada, ao mesmo tempo que cuida do meio ambiente e reduz o desperdício.</p><p></p><p>Funcionalidade: O conjunto contém todos os elementos necessários que proporcionam uma solução abrangente de aspersão, garantindo que o seu jardim estará sempre em perfeitas condições.</p><p></p><p>Definir conteúdo:</p><p></p><p></p><p></p><p></p><p>Conexão da torneira: Conexão conveniente e fácil à sua torneira, permitindo que você comece a pulverizar rapidamente sem complicações.</p><p></p><p></p><p>Economize seu tempo e energia com nosso kit de aspersão de 1/2"" de 4 peças.  Também disponível em 3/4 "". Feito de material TPR durável, nosso kit garante confiabilidade, conveniência e eficiência. Se você precisa regar suas plantas ou limpar superfícies, nosso kit é a solução perfeita para você.</p><p></p><p>Conector rápido: A solução perfeita que permite conectar e desconectar de forma rápida e fácil a mangueira do sprinkler, eliminando o demorado aparafusamento e desaparafusamento.</p><p></p><p>Conector rápido com batente: Extremamente prático, permite passar rapidamente de um aparelho para outro sem ter que interromper o fluxo de água.</p><p></p><p>Bocal de pulverização: Bocal ajustável que permite ajustar a força e a forma do jato de água às suas necessidades individuais. Desde uma suave nebulização de plantas até um poderoso jato de limpeza.</p><p></p><p></p>",88efbe_e0e3b0686b724e21a57ab0194f5fb1cd~mv2.jpeg,Jardim,,,1.99,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,"[AG73043]- 3/4"";[AG73042]- 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110012,General Tools,Tools for The Workshop and Garage\General Tools,2025-06-27T13:51:14.640358
product_770ddd07-11df-dca2-2468-173adab9d391,Variant,,,,,,,,,TRUE,,,InStock,,,,,"[AG73042]- 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_770ddd07-11df-dca2-2468-173adab9d391,Variant,,,,,,,,,TRUE,,,InStock,,,,,"[AG73043]- 3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_90e81114-3194-8719-c804-9e019ae27815,Product,União Mangueira Rega Plástico ,"<p>Conector/reparador BLUE LINE para mangueira de 1/2"" de diâmetro (blister)</p><p>Conector/reparador BLUE LINE para mangueira de 1/2"" de diâmetro. Perfeito para reparar uma mangueira danificada.</p><p></p><p>Tambem disponível em 3/4""</p><p></p><p>Características do produto:</p><p>plástico de alta qualidade</p><p>perfeito para reparar uma mangueira danificada</p><p>fornece uma conexão permanente de duas mangueiras do mesmo diâmetro</p><p></p><p>Cxs interiores de 12unid.</p><p>Cx exterior de 120 unid.</p>",88efbe_067117d3a5554c35bc9f330484d4e145~mv2.jpeg,Jardim,,,0.56,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,"[AG73038]- 3/4"";[AG73037]- 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110012,General Tools,Tools for The Workshop and Garage\General Tools,2025-06-27T13:51:14.640424
product_90e81114-3194-8719-c804-9e019ae27815,Variant,,,,,,,,0.1,TRUE,,,InStock,,,,,"[AG73038]- 3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_90e81114-3194-8719-c804-9e019ae27815,Variant,,,,,,,,,TRUE,,,InStock,,,,,"[AG73037]- 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_312cae3b-115d-9802-2805-04e5211a2af5,Product,Tomada Rápida  para Mangueira Rega,"<p>Conector rápido para mangueira de jardim 1/2"" BLUE LINE (blister)</p><p></p><p>Disponível também  na medida 3/4""</p><p></p><p>Cxs interior de 12unid</p><p>Cx exterior de 120 unid.</p><p></p>",88efbe_e41b52bd4b7043e3ac2c1d70736abc12~mv2.jpeg,Jardim,,,0.6,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,"[AG73032B] - 3/4"";[AG73030B]- 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110012,General Tools,Tools for The Workshop and Garage\General Tools,2025-06-27T13:51:14.640569
product_312cae3b-115d-9802-2805-04e5211a2af5,Variant,,,,,,,,0.06,TRUE,,,InStock,,,,,"[AG73032B] - 3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_312cae3b-115d-9802-2805-04e5211a2af5,Variant,,,,,,,,,TRUE,,,InStock,,,,,"[AG73030B]- 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_276fa39e-4fe3-0ac4-ae99-a02787433257,Product,Adaptor de torneira para Mangueira Rega,"<p>Vem embalado com código barras individual.</p><p>Cxs interiores de 25unid.</p><p></p><p>Conexão de torneira de 1"" com redução de 3/4"" BLUE LINE</p><p>Ou disponível também  de torneira 3/4"" para redução de 1/2""</p><p>Permite conectar rapidamente uma mangueira de jardim usando um conector rápido.</p>",88efbe_eaa0f5f3cef8483082faefcd9f6567e7~mv2.jpeg,Jardim,,,0.33,,TRUE,PERCENT,0,InStock,,,Medidas,DROP_DOWN,"[AG73022]- 1/2""-3/4"";[AG73021]- 3/4""-1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110012,General Tools,Tools for The Workshop and Garage\General Tools,2025-06-27T13:51:14.640622
product_276fa39e-4fe3-0ac4-ae99-a02787433257,Variant,,,,,,,,0.13,TRUE,,,InStock,,,,,"[AG73021]- 3/4""-1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_276fa39e-4fe3-0ac4-ae99-a02787433257,Variant,,,,,,,,,TRUE,,,InStock,,,,,"[AG73022]- 1/2""-3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
